Paper ID (LastNameFirstAuthor_Year_FirstWordTitle),Source,Behavior,Group,Physical Environment,Condition,Social Environment,Discussion/ what is relevant from this paper to our model? (ideally quantitave factors),Details (more qualitative description),Unnamed: 9,Unnamed: 10,Unnamed: 11
Ehmann_2018_Emotionality,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467321230004105&institutionId=4105&customerId=4100&VE=true,"Gradual decrease of emotional expression; feelings of isolation; increases in negative emotions, partcularly anger",Antarctic Researchers,Antarctic Station (Concordia and Halley VI),Extreme cold,"Close quarters, 14 at one station and 8 at the other","As part of a larger international project coordinated by the European Space Agency (ESA), the aim of our study was to use word- based content analysis for exploring and comparing the effect of time on overall and fine-grained patterns of emotionality in two different winterovering settings in the Antarctica, at Concordia and Halley VI. Within this aim, we also assessed the presence of the third-quarter phenomenon. Although we also found evidence of the “third-quarter phenom- enon”, it was present in Concordia, but not in Halley. Furthermore, it was only detectable in Emotional Valence and Negative Emotions, parti- cularly Anger, while Positive Emotions, Anxiety, and Sadness showed different patterns. These results corroborate the general opinion in the literature that the phenomenon is inconsistent (see, e.g., Sandal, Leon, & Palinkas, 2006; Hawkes & Norris, 2017). By demonstrating that Q3 may be present in one setting and may not be present in a different setting, we hope to move the emphasis from the yes/no question of whether the phenomenon exists, toward the more detailed study of the circumstances under which Q3 or any other dynamic pattern is mani- fested.","The novelty of our study is the use of word-based content analysis for exploring the emotional patterns and time-effect thereon for the first time in the history of this line of research. By this method, we were able to provide a fine-grained analysis of seven different aspects of emo- tionality (Affectivity, Positive Emotions, Negative Emotions, Emotional Valence, Anger, Anxiety, and Sadness) in two ICE samples. Such differ- ences in the emotionality patterns between the two stations may be attributed to multiple factors.
A reasonable explanation may pose the possibility that the more isolated a setting (in a possible locational sequence of ships < islands < coastal bases < deep inland bases < remote camps), the more negativity is expressed (see, e.g., Sandal, 2000; Stuster et al.,
2000).",,,
Ray_2019_Review,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467321170004105&institutionId=4105&customerId=4100&VE=true,"Gap in our knowledge regarding how cold exposure affect more complex tasks, which have both cognitive and motor elements, that are performed in dynamic and unpredictable environments",Individuals,Cold Environments,Extreme cold,N/A - Individual studies,"Our review found that there is a limited amount of research on how to optimize training for cold environments. Our review also found that the current body of research is primarily based on findings from tasks that are biased towards motor or cognitive demands, but not both, and that most tasks studied are low in complexity. Based on these identified gaps in the literature, we discuss how concepts from the motor learning literature can inform future research to help determine the best methods for training in the cold. We also discuss how a more comprehensive understanding of the effects of cold exposure on manual performance could be developed by performing research that uses a broader range of tasks that vary based on both task complexity and the cognitive and motor demands. Research that addresses these issues could help to enhance the safety and performance of those who work in cold environments.","The first issue is that there is a gap in our knowledge re- garding how cold exposure affect more complex tasks, which have both cognitive and motor elements, that are performed in dynamic and un- predictable environments. This lack of research could lead to an un- derestimation of the effects of cold exposure because it remains unclear how the effects of cold exposure interacts with increased cognitive and sensorimotor demands of performing complex manual skills in open environments. The second issue is that there is a paucity of research that addresses how to organize training to best promote the learning, retention and transfer of trained skills to cold environments. Without research that investigates how to maximize both learning and performance, individuals may face situations where they are unable to retain trained skills once they are in their work environment or they may not be able to transfer their trained skills to dynamic and changing conditions of cold environments. Therefore, to better gauge how training will transfer to performance in cold environments it is im- perative to design studies that manipulate the variables that are known impact the retention, transfer and performance of motor skills (con- textual interference, variable practice, practice specificity effects, thermal conditions).",,,
Makinen_2007_Human,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467320990004105&institutionId=4105&customerId=4100&VE=true,"Moderate cold exposure affects cognition negatively through the mechanisms of distraction and both positively and negatively through the mechanism of arousal (increased vigilance); especially simple cognitive tasks are adversely affected by cold, while in more complex tasks performance may even improve in mild or moderate cold.",Individuals living in high-latitude environments,Varied,Extreme cold,Varied,"With regard to performance, we observed that mod- erate cold exposure, which may occur in everyday life, affects cognition negatively through the mechanisms of distraction and both positively and negatively through the mechanism of arousal (increased vigilance). It seems that especially simple cognitive tasks are adversely affected by cold, while in more complex tasks performance may even improve in mild or moderate cold. Repeated, short cold exposures in the laboratory, causing cold habituation responses, do not markedly improve neuromuscular or cognitive performance.","Some positive effects of mod- erate cold exposure on cognition may also occur, reflected as shorter response times and improved accuracy. Postural control is im- paired in cold and probably related to cooling- related changes in sensory or neuromotor functions. It was also observed that a short ex- perimental cold acclimation period does not markedly affect performance.",,,
Ombergen_2020_White,http://mutex.gmu.edu/login?url=https://onlinelibrary.wiley.com/doi/abs/10.1113/EP088352,Negative effects on sleep and cognitive skills like piloting performance,Antarctic Expeditions,Research Station,Extreme cold,Close Quarters; Isolated,"In the past two decades, the ESA has supported a total of 36 biomedical research projects at the Concordia station in collaboration with the French and Italian polar institutes. More specifically, studies in the areas of psychology, neuroscience, sleep physiology, cardio- vascular physiology and immunology were performed. The outcomes of these studies are directly relevant for people working in ICE environments, but also help to better understand the biomedical challenges of those environments. Consequently, they can help to better prepare for human space exploration and to identify countermeasures to minimize the adverse effects of space environments on astronaut health. The aim of this review is to provide an overview of the biomedical studies that have taken place in the past two decades at the Antarctic Concordia station and to summarize the results and their implication for human spaceflight.","Perceived control has been shown to be linked to a better total recovery, an overarching dimension including success, social relaxation, somatic relaxation, general well-being and sleep quality (Nicolas et al., 2016). Furthermore, mature defence mechanisms, using problem-solving strategies, has been shown to be more beneficial than immature defence mechanisms (based on behavioural withdrawal of acting out) for coping purposes (Nicolas et al., 2016). Coping has also been shown to be influenced by the time of the year (seasonal effects), up to the extent that during winter months, winterers became more indifferent (Sandal, van de Vijver, & Smith, 2018). This sort of ‘psychological hibernation’ has been suggested to be a coping strategy in itself.",,,
Burtscher_2018_Extreme,https://na04.alma.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=29691845250004101&institutionId=4101&customerId=4100,"acute cold stress was shown to impair vigilance, overall mood, motor, and cognitive performance",Individual Studies,Intentional cold exposure to assess physical and psychological responses,Extreme cold,N/A - Individual Studies,"This review provides an overview of the physiological and morphological aspects of adaptive responses in these environmental stressors at the level of organs, tissues, and cells. Furthermore, adjustments existing in native people living in such extreme conditions on the earth as well as acute adaptive responses in newcomers are discussed. These insights into general adaptability of humans are complemented by outcomes of specific acclimatization/acclimation studies adding important information how to cope appropriately with extreme environmental temperatures and hypoxia.","people acutely exposed to extreme conditions may experience impaired performance, at least initially, and different mechanisms of adjustment will later on enable them to cope with cold, hot, and/or hypoxic environments. However, in certain circumstances also mal-adaptive processes may occur in both indigene and acutely exposed. Individually adjusted pre-exposure to specific (simulated) environmental conditions may turn on adaptive processes, which improves performance and provides some protection from maladaptation. Finally, potential cross-adaptive effects between different environmental stressors, e.g., development of cross tolerance for hypoxia (altitude) after prior heat acclimation, may be considered.",,,
Norris_2010_Future,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467320880004105&institutionId=4105&customerId=4100&VE=true,affective fluctuations during the expedition which were attributed to social isolation from family and friends,Antarctic Expeditions,Research Station,Extreme cold,Close Quarters,"it has been repeatedly demonstrated that the majority of expeditioners experience positive outcomes associated with their time ‘on the ice’ despite transient (and frequently subclinical) physical, psychological, and social difficulties. Research strategies directed towards the individual experience of the expeditioner have not been able to fully account for the processes underpinning the adjustment processes that have facilitated seemingly resilient and growth outcomes. Similarly, insufficient research attention has been given to the separate phases of Antarctic employment, nor the potential interdependence between them, which may also provide further insight into these processes. To address these issues it has been argued that an approach incorporating individual, interpersonal, and organizational factors throughout the Antarctic employment experience, from pre-departure through absence, reunion, and reintegration, be adopted.","Whilst the majority of this research has emphasized negative outcomes from interference between work and family/interpersonal roles there is increasing evidence to indicate that positive effects can result (Stevens et al. 2007). In fact, some researchers have identified that positive experiences associated with interactions between work and family/interpersonal roles often outweigh the negative (Bernas & Major 2000) - not unlike the results investigating the concurrent experience of positive and negative emotions throughout the Antarctic absence period (Wood et al. 2000). Specific positive outcomes associated with interference between work and family/interpersonal roles include increased role flexibility (Hughes et al. 1992), positive psychological spillover (Piotrkowski 1979, Larson & Almeida 1999), enhanced self-esteem and self-efficacy (Grimm-Thomas & Perry-Jenkins 1994, Barnett 1999), and increased perceptions of social support (Carlson & Perrewe 1999).",,,
Guly_2012_Psychology,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467320810004105&institutionId=4105&customerId=4100&VE=true,"Sleep issues; reduced accuracy and increased response time for congitive tasks, increased susceptibility to suggestion; depressed mood; anger and irritability; anxiety; interpersonal tension and conflict to group members and towards people not in the group",Polar Explorers,Ship; tents,Extreme cold,Close quarters,"There was no formal psychological research during the heroic age of Antarctic exploration, but a number of the doctors and non-medical personnel on the expeditions were keen observers of the psychological aspects of the expeditions and wrote about them. In this paper, I describe their understanding of the psychology of Antarctic exploration. By comparing this with current knowledge, it is clear that most of what has been found by formal study was known to the explorers of the heroic age.","Palinkas and Suedenfeld (2008) divide the psycho- logical effects into symptoms, syndromes and psychi- atric disorders. (Psychiatric disorders were common during the heroic age, and I discuss them in an accom- panying article; Guly, 2012b.) The psychological symptoms they describe are listed in Table 1. It is debatable whether the somatic symptoms of fatigue, gastrointestinal complaints, rheumatic aches and pains and headaches should be included in this list. There is, of course, an interrelation between psycho- logical and physical illness, with physical illness causing psychological stress and vice versa. This was recognized by Gazert (1927), who also described psychosomatic influences on sleeping disorders, loss of appetite, dyspepsia and cardiac extrasystoles. Psychological stress also causes people to be less tol- erant and more likely to complain of physical illness, as noted by Dr Wilson, doctor on both of Scott’s expe- ditions: ‘Little ailments are on the increase on the ship chiefly due to ennui, and want of exercise and air and light’ (Wilson, 1966: 162, diary 15.7.1902).",,,
Gatterer_2021_Practicing,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467320800004105&institutionId=4105&customerId=4100&VE=true,"Acclimatization to cold over time, improving physical response to cold environments",Athletes participating in cold-weather sports,Outdoor athletic competitions,Extreme cold,Athletic competition,"this review summarizes the current available knowledge specifically related to the physiological impact of cold exposure, in an attempt to provide practitioners and coaches alike with practical recommendations to minimize any potential negative performance effects, mitigate health issues, and best optimize athlete preparation across various sporting disciplines. Herein, the review is split into sections which explore some of the key physiological effects of cold exposure on performance (i.e., endurance exercise capacity and explosive athletic power), potential health issues (short-term and long-term), and what is currently known with regard to best preparation or mitigation strategies considered to negate the potential negative effects of cold on performance.","We think that specific areas of interest include potential physiological gender differences, fitness status, the role of genetic predisposition to exercise performance in the cold, the value of habituation/acclimatization and personal experience to cold environments for enhanced performance, the efficacy of prophylactic pharmacological interventions and technological considerations relating to advancements in insulative clothing technology, and warm up strategies.",,,
Weiss_2004_Formation,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467320640004105&institutionId=4105&customerId=4100&VE=true,Exclusive affinity (constant and exclusive relationships) does not indicate successful adaptation; indifferent participants who did not establish any stable relationships were quoted negatively on personal and social indicators,Antarctic Expeditions,Research Station,Extreme cold,Close Quarters; Isolated,"In order to identify the effects of situational constraints on social behavior in a small iso- lated group, a systematic daily observation was conducted during a winter-over mission in a French research station in the Antarctic. This observation corresponded to participants’ seating arrangements during meals and was supplemented by analysis of the physician’s diary. We hypothesized that social stability would be an indicator of adaptation in this con- text. Both analyses highlighted the importance of the social relationships, even if they were not described in the diary as positive. The results underline the need for a relational balance, linked to stable but not exclusive social relations. Some indicators emphasized the end of the isolation period as one critical moment (actually 1 month before the end), with an expression of homesickness and greater negativity in the diary’s descriptions of social relationships.","Even if social support does not necessarily constitute the most adaptive way of coping in isolated groups (Leon, McNally, & Ben-Porath, 1989; Palinkas, Suedfeld, & Steel, 1995; Peri, Scarlata, & Barbarito, 2000), interpersonal rela- tionships do play an essential role in such a situation. Intimate relationships may be less important than in everyday life because they are particularly significant in social support. Leon et al. also found this limited use of social support in the Arc- tic, and they interpreted this as an indicator of a positive adaptation. Too strong a relational involvement could underline subjects’ vulnerability in a crowding situ- ation, where everyone knows each other and where information can circulate very quickly. Moreover, intimate relationships tend to develop gradually and require more time to blossom (Altman & Taylor, 1973; Levinger & Snoek, 1972). As such relationships cannot satisfy the social needs of wintering people, exclusive relations do not necessarily correspond to a real adaptation. Rather, social adapta- tion is expressed through stable links associated with a set of less intimate social relationships. From this point of view, ICE also represents a small-scale society (Goffman, 1961) and reproduces the usual relational patterns found elsewhere, in spite of the absence of certain privileged links (family and love relationships).",,,
Hawkes_2019_Mood,https://wrlc-gm.primo.exlibrisgroup.com/view/action/uresolver.do?operation=resolveService&package_service_id=22467320600004105&institutionId=4105&customerId=4100&VE=true,The pattern of mood fluctuations and psychological adjustment in expeditioners is homogeneous regardless of deployment length or season,Australian Antarctic Expeditions,Research Station,Extreme cold,Close Quarters; Isolated,"The analysis was conducted on 423 expeditioner from the Australian Antarctic program between the 2005-2009 Antarctic deployment seasons. The results supported the notion that mood fluctuation patterns in expeditioners within the Australian-Antarctic programme were largely homogeneous, as a 1-class cubic latent class growth model was identified as being the optimal fit for the dataset.","The mood fluctuation pattern in the current sample was best fitted with a cubic curve, therefore suggesting that mood fluctuations in expeditioners in non-linear in nature. A visual inspection of Figs. 1 and 2 suggests that the expeditioners within the current sample experienced an increase in distress during the initial stage of deployment, followed by a decrease in distress as deployment progressed, followed by a final increase in distress in the final month of deployment, the reunion and reintegration phases.",,,
